,ari,atl,bal,bos,chc,chw,cin,cle,col,det,mia,hou,kcr,laa,lad,mil,min,nym,nyy,oak,phi,pit,stl,sdp,sfg,sea,tbr,tex,tor,wsn
112,-20,-28.0,14,10,30,-4,-20,16.0,-2,10.0,6.0,2,-6,-14,14,-12,-20,2,0,-14,-10,2,6,-16,16,6,-20,18,14,20
113,-19,-27.0,13,9,31,-5,-21,17.0,-3,9.0,7.0,3,-5,-15,15,-11,-21,1,1,-13,-9,3,5,-15,15,7,-21,19,15,21
114,-18,-28.0,14,10,32,-6,-20,18.0,-4,8.0,6.0,4,-4,-16,14,-12,-22,0,2,-12,-10,2,6,-16,16,6,-22,20,14,20
115,-19,-29.0,15,11,31,-5,-19,19.0,-3,7.0,5.0,5,-3,-17,13,-13,-23,-1,3,-13,-11,3,5,-15,15,7,-23,21,15,21
116,-20,-28.0,14,12,30,-4,-20,18.0,-4,8.0,4.0,6,-4,-18,14,-12,-24,0,4,-12,-10,4,4,-16,16,8,-22,20,14,22
117,-21,-29.0,15,13,31,-5,-21,19.0,-5,9.0,5.0,5,-3,-19,13,-13,-23,1,3,-13,-9,5,5,-17,15,9,-21,21,15,23
118,-20,-30.0,14,14,32,-6,-20,18.0,-6,8.0,6.0,4,-2,-20,14,-14,-24,0,4,-14,-8,6,6,-18,14,8,-20,20,16,22
119,-21,-31.0,13,15,33,-5,-19,19.0,-7,7.0,5.0,3,-1,-19,15,-15,-23,1,3,-15,-7,5,7,-19,13,9,-19,19,15,21
120,-20,-32.0,14,14,34,-6,-18,20.0,-6,6.0,4.0,2,0,-20,14,-16,-22,0,2,-16,-8,4,8,-20,12,8,-20,20,16,22
121,-21,-33.0,13,15,33,-7,-17,19.0,-5,7.0,3.0,1,1,-19,13,-17,-23,-1,3,-17,-9,3,9,-19,13,9,-19,21,17,23
122,-22,-34.0,12,16,34,-6,-16,20.0,-4,6.0,4.0,2,2,-20,12,-18,-24,-2,4,-16,-8,2,8,-18,14,10,-18,22,16,24
123,-21,-35.0,11,15,33,-5,-17,21.0,-5,5.0,5.0,3,3,-21,13,-17,-25,-1,3,-17,-9,3,9,-19,13,9,-19,23,17,23
124,-22,-34.0,12,16,34,-4,-18,20.0,-4,6.0,6.0,4,4,-20,14,-16,-26,0,2,-18,-8,2,8,-18,12,10,-20,22,16,22
125,-21,-35.0,13,17,35,-5,-17,19.0,-5,7.0,5.0,5,5,-21,15,-15,-27,1,3,-19,-9,3,9,-19,11,9,-19,21,17,21
126,-22,-34.0,14,16,36,-4,-18,18.0,-6,8.0,6.0,4,4,-20,16,-14,-28,0,4,-18,-10,4,8,-20,10,8,-18,20,16,20
127,-21,-35.0,13,15,37,-5,-19,19.0,-7,9.0,5.0,5,5,-19,15,-15,-29,1,5,-17,-9,5,9,-21,11,7,-19,21,15,21
128,-22,-34.0,12,14,36,-4,-18,18.0,-8,10.0,6.0,6,6,-20,14,-16,-30,2,6,-18,-10,6,8,-22,12,8,-20,22,16,22
129,-21,-35.0,11,15,35,-3,-19,17.0,-7,9.0,5.0,7,5,-19,15,-17,-31,3,5,-17,-11,5,7,-21,11,7,-19,21,17,21
130,-22,-34.0,12,14,36,-4,-20,18.0,-6,8.0,4.0,6,6,-18,16,-18,-32,2,4,-16,-10,4,8,-20,12,6,-20,22,18,20
131,-21,-35.0,11,15,37,-5,-21,19.0,-5,9.0,3.0,7,7,-17,15,-19,-33,3,5,-17,-11,3,9,-21,11,5,-19,23,19,21
132,-20,-34.0,12,14,38,-6,-22,20.0,-4,10.0,2.0,8,6,-16,14,-20,-34,4,6,-18,-12,2,8,-22,12,4,-20,24,18,22
